NTA_Name,NTA_Code,TotalPop,Hispanic,WhiteNonHisp,BlackNonHisp,AsianPI,OtherRace,Poverty,EduLessThanHS,PrematureMortality,PretermBirths,SMM,HIV,HepB,HepC,TB
Bushwick South,BK78,75202,59,11.6,25,3,1.4,27.8,34.2,228,9.6,331,44.4,35.6,117.8,5.3
Ocean Hill,BK79,32427,16.9,2.2,78.2,1.7,1.1,30,26.8,291.9,14,494.3,62.5,61.7,168.7,5.1
Brownsville,BK81,61161,18.7,0.9,78.2,0.9,1.2,40,27.2,335.4,15,506,67.2,59.8,148.5,3.3
East New York,BK82,91139,27,1.8,67.8,2.1,1.4,33.2,22.1,282.6,12.6,454.6,52.8,66.3,121.4,6.6
Cypress Hills-City Line,BK83,47199,60.4,5,25.9,6.4,2.4,30.2,28.5,180.6,9.4,286.6,21.3,58.3,56.7,2.8
East New York (Pennsylvania Ave),BK85,30594,28.1,1.7,69.1,0.7,0.5,39.4,29.2,253.9,13,442.7,50.3,60.5,182.8,4.4
Borough Park,BK88,109422,10.3,75.6,0.6,12.9,0.6,37.3,28.5,112.8,5.4,100.6,5.4,238.6,52.9,6.4
East Williamsburg,BK90,34105,31.9,44.9,9.2,12.3,1.6,20.2,22.3,169.5,7.4,177,33.9,61.8,85.1,5.9
East Flatbush-Farragut,BK91,51723,5.8,1.8,89.1,1.5,1.7,12.4,12.5,163.1,15.1,519.1,46.7,69.8,53.4,6.4
Starrett City,BK93,12854,21.8,24.8,49.1,2.8,1.5,32,20.5,288.7,11.5,332.8,15.3,62.9,132.4,2.6
Erasmus,BK95,28357,11,1.4,84.2,1.6,1.8,23,19.2,194.1,13.9,532.3,51.6,104.2,70.2,12.9
Rugby-Remsen Village,BK96,55669,5.6,1.3,90.6,0.9,1.6,18.6,17.6,177.5,12.9,434.4,43.1,55.5,56.6,7.8
Brooklyn unpopulated areas such as cemeteries and parks,BK99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Claremont-Bathgate,BX01,33205,55.4,1,42.4,0,1.2,50.6,39.9,345.7,11.2,332.3,45.6,149.3,127.7,12
Eastchester-Edenwald-Baychester,BX03,35367,24.2,3.6,68.8,1.8,1.7,18,19.6,181.7,12.1,386.4,33.7,76.4,61.3,3.8
Bedford Park-Fordham North,BX05,53362,71.7,7,15.7,4.2,1.4,33.5,34.1,196.9,9.1,290.4,49.1,103.9,143.3,10
Belmont,BX06,27395,60.3,21.1,15.1,1.7,1.8,46.1,39.1,290.6,9.8,306.5,36.2,74.4,121.5,7.3
Bronxdale,BX07,35587,51.3,11.9,30.4,4.6,2,25.8,27,203.7,10.6,282.7,41.3,83.2,115,6.6
West Farms-Bronx River,BX08,36844,66.2,2.3,24.6,4.4,2.5,34.8,38.3,191.9,9.8,317.2,40.9,90.4,111.2,9
Soundview-Castle Hill-Clason Point-Harding Park,BX09,55256,58.1,1.7,36.6,1.9,1.8,27.6,25.9,202.9,11.7,334.2,46.6,60.4,97.1,3
Pelham Bay-Country Club-City Island,BX10,26963,30.7,61.2,2.7,4.1,1.4,10.3,17.4,161.2,8.5,172.9,11.1,40.3,71.8,1.2
Co-op City,BX13,47442,30.2,8,58.9,0.7,2.2,10.1,16,171.4,12.7,325.3,19.2,50.9,60.5,1.4
East Concourse-Concourse Village,BX14,64821,61.3,1.4,34.2,1.3,1.8,35.9,38.9,242.1,9.5,309.7,44.4,155.6,119,5.7
East Tremont,BX17,43878,69.5,1.6,26.9,1,1,45.3,40.9,316,11,284.1,58.4,105.1,162.5,9.1
North Riverdale-Fieldston-Riverdale,BX22,27264,19.7,64.4,6.6,8,1.4,8.5,8,167.1,7.8,139.4,21.5,30.4,41.4,3.7
Highbridge,BX26,38793,65,1.5,32.5,0.4,0.6,43,35.9,267.9,9.5,307.3,61.3,125.2,174.6,4.3
Hunts Point,BX27,26780,74,1,23.3,0.4,1.3,42.7,41.4,231,9.7,291.6,39.7,125.4,330.4,2.5
Van Cortlandt Village,BX28,49787,65.2,9.7,19.6,3.5,2,26.2,27.5,164.5,9.2,253.2,23.5,72.9,97.6,5.4
Spuyten Duyvil-Kingsbridge,BX29,31434,37.4,46.6,8.6,5,2.4,11.5,12.9,160.6,7.9,163.8,12.7,49,71.6,NA
Kingsbridge Heights,BX30,30088,71.9,2.6,19.1,5.1,1.4,32.5,32.5,227.7,8.9,248.3,53.2,93.1,115.6,8.9
Allerton-Pelham Gardens,BX31,33848,31.4,26,31.3,8.5,2.8,12.9,21.7,159,10,292.7,15.5,48.1,97.8,4.9
Longwood,BX33,27438,74.5,1.3,22.6,1,0.6,38.5,43.7,247.5,9,301.5,28.9,83.3,158.1,10.9
Melrose South-Mott Haven North,BX34,40426,64.5,2,31.5,0.6,1.4,40.8,41.5,280.6,9.3,344.1,39.2,108.5,202.8,4.1
Morrisania-Melrose,BX35,39894,61,1.3,35.5,0.5,1.7,36.2,37.4,271,9.8,335.8,45.5,138.1,203.6,5
University Heights-Morris Heights,BX36,52773,65.4,1.3,30,1.7,1.7,41.5,31.8,221.8,9.9,273.2,49.5,99,167.7,9.5
Van Nest-Morris Park-Westchester Square,BX37,30617,55.6,24,10.1,8.5,1.8,24.6,25.5,181.3,10,384.4,13.1,72.3,112.6,2.2
Mott Haven-Port Morris,BX39,54487,71.9,1.3,25.3,0.8,0.7,46.4,42.9,292.2,10.2,313.4,41.8,72.2,226.3,8
Fordham South,BX40,26690,70.8,1.5,26.1,0.8,0.7,47.4,41.5,246.4,9.8,248,50.2,122.7,173.7,10
Mount Hope,BX41,52999,69.3,1.6,26.3,1.2,1.6,38.8,35.5,220.2,9.6,275.4,65.3,156.6,143.4,10.1
